order_id,customer_id,order_date,ship_mode,region,ship_date,first_name,last_name,email,country,city,segment,registration_date,order_item_id,product_id,quantity,unit_price_x,discount,total_price,product_name,category,sub_category,unit_cost,unit_price_y,profit,profit_margin,delivery_days
ORD-000001,CUST-03573,2022-05-30,Second Class,East,2022-05-31,FirstName_3572,LastName_3572,user3572@example.com,Germany,Los Angeles,Home Office,2020-02-07,ITEM-0000001,PROD-0158,6,217.55,0.1,1174.77,Binders Model 343,Office Supplies,Binders,121.11,217.55,448.11,0.3814448785719758,1
ORD-000002,CUST-04479,2022-08-08,Standard Class,North,2022-08-10,FirstName_4478,LastName_4478,user4478@example.com,Canada,Sydney,Home Office,2022-03-27,ITEM-0000002,PROD-0186,10,384.96,0.0,3849.6,Storage Model 600,Office Supplies,Storage,253.6,384.96,1313.6,0.3412302576891105,2
ORD-000002,CUST-04479,2022-08-08,Standard Class,North,2022-08-10,FirstName_4478,LastName_4478,user4478@example.com,Canada,Sydney,Home Office,2022-03-27,ITEM-0000003,PROD-0146,3,694.88,0.2,1667.71,Pens Model 430,Office Supplies,Pens,472.95,694.88,248.86000000000013,0.14922258666075044,2
ORD-000002,CUST-04479,2022-08-08,Standard Class,North,2022-08-10,FirstName_4478,LastName_4478,user4478@example.com,Canada,Sydney,Home Office,2022-03-27,ITEM-0000004,PROD-0177,8,76.63,0.1,551.74,Binders Model 294,Office Supplies,Binders,52.31,76.63,133.26,0.24152680610432448,2
ORD-000002,CUST-04479,2022-08-08,Standard Class,North,2022-08-10,FirstName_4478,LastName_4478,user4478@example.com,Canada,Sydney,Home Office,2022-03-27,ITEM-0000005,PROD-0154,4,1487.91,0.0,5951.64,Pens Model 500,Office Supplies,Pens,759.54,1487.91,2913.4800000000005,0.48952557614371844,2
ORD-000003,CUST-02755,2023-07-12,First Class,West,2023-07-17,FirstName_2754,LastName_2754,user2754@example.com,Australia,Sydney,Consumer,2021-07-02,ITEM-0000006,PROD-0032,9,463.63,0.0,4172.67,Smartphones Model 829,Electronics,Smartphones,324.4,463.63,1253.0700000000002,0.3003041218212799,5
ORD-000003,CUST-02755,2023-07-12,First Class,West,2023-07-17,FirstName_2754,LastName_2754,user2754@example.com,Australia,Sydney,Consumer,2021-07-02,ITEM-0000007,PROD-0091,8,854.5,0.0,6836.0,Tables Model 312,Furniture,Tables,433.38,854.5,3368.96,0.4928262141603277,5
ORD-000004,CUST-03264,2022-06-14,Same Day,West,2022-06-19,FirstName_3263,LastName_3263,user3263@example.com,United States,Berlin,Consumer,2021-03-17,ITEM-0000008,PROD-0073,5,47.18,0.0,235.9,Chairs Model 751,Furniture,Chairs,28.89,47.18,91.45000000000002,0.387664264518864,5
ORD-000004,CUST-03264,2022-06-14,Same Day,West,2022-06-19,FirstName_3263,LastName_3263,user3263@example.com,United States,Berlin,Consumer,2021-03-17,ITEM-0000009,PROD-0038,1,954.52,0.05,906.79,Tablets Model 797,Electronics,Tablets,511.09,954.52,395.7,0.4363744637677963,5
ORD-000004,CUST-03264,2022-06-14,Same Day,West,2022-06-19,FirstName_3263,LastName_3263,user3263@example.com,United States,Berlin,Consumer,2021-03-17,ITEM-0000010,PROD-0188,3,592.89,0.0,1778.67,Storage Model 490,Office Supplies,Storage,439.86,592.89,459.09000000000015,0.2581085867530234,5
ORD-000005,CUST-03826,2023-03-31,First Class,Central,2023-04-02,FirstName_3825,LastName_3825,user3825@example.com,United States,Berlin,Consumer,2022-05-04,ITEM-0000011,PROD-0108,10,155.22,0.0,1552.2,Desks Model 928,Furniture,Desks,82.66,155.22,725.6000000000001,0.467465532792166,2
ORD-000005,CUST-03826,2023-03-31,First Class,Central,2023-04-02,FirstName_3825,LastName_3825,user3825@example.com,United States,Berlin,Consumer,2022-05-04,ITEM-0000012,PROD-0167,10,431.28,0.1,3881.52,Binders Model 948,Office Supplies,Binders,287.47,431.28,1006.8199999999997,0.2593880747748304,2
ORD-000006,CUST-03417,2022-08-09,Standard Class,West,2022-08-10,FirstName_3416,LastName_3416,user3416@example.com,United States,New York,Consumer,2021-06-15,ITEM-0000013,PROD-0143,1,223.45,0.0,223.45,Paper Model 245,Office Supplies,Paper,126.69,223.45,96.75999999999999,0.4330275229357798,1
ORD-000006,CUST-03417,2022-08-09,Standard Class,West,2022-08-10,FirstName_3416,LastName_3416,user3416@example.com,United States,New York,Consumer,2021-06-15,ITEM-0000014,PROD-0107,8,1124.03,0.0,8992.24,Desks Model 231,Furniture,Desks,722.97,1124.03,3208.4799999999996,0.3568054233427933,1
ORD-000007,CUST-02058,2022-11-25,Standard Class,North,2022-11-30,FirstName_2057,LastName_2057,user2057@example.com,Canada,Melbourne,Corporate,2022-09-14,ITEM-0000015,PROD-0030,2,29.07,0.2,46.51,Smartphones Model 368,Electronics,Smartphones,23.18,29.07,0.14999999999999858,0.003225112878950733,5
ORD-000008,CUST-02312,2022-09-28,Second Class,South,2022-10-02,FirstName_2311,LastName_2311,user2311@example.com,Germany,New York,Consumer,2021-02-10,ITEM-0000016,PROD-0128,7,326.22,0.0,2283.54,Bookcases Model 910,Furniture,Bookcases,200.51,326.22,879.97,0.38535344246214215,4
ORD-000009,CUST-02880,2021-05-31,Standard Class,West,2021-06-03,FirstName_2879,LastName_2879,user2879@example.com,United States,Los Angeles,Consumer,2021-05-24,ITEM-0000017,PROD-0093,7,138.88,0.0,972.16,Tables Model 802,Furniture,Tables,104.73,138.88,239.04999999999995,0.2458957373271889,3
ORD-000010,CUST-03643,2021-05-04,Standard Class,North,2021-05-10,FirstName_3642,LastName_3642,user3642@example.com,Canada,Berlin,Consumer,2021-05-03,ITEM-0000018,PROD-0080,10,1161.54,0.05,11034.63,Chairs Model 817,Furniture,Chairs,718.86,1161.54,3846.029999999999,0.3485418178951174,6
ORD-000010,CUST-03643,2021-05-04,Standard Class,North,2021-05-10,FirstName_3642,LastName_3642,user3642@example.com,Canada,Berlin,Consumer,2021-05-03,ITEM-0000019,PROD-0059,1,862.76,0.0,862.76,Accessories Model 858,Electronics,Accessories,446.76,862.76,416.0,0.48217348973063195,6
ORD-000010,CUST-03643,2021-05-04,Standard Class,North,2021-05-10,FirstName_3642,LastName_3642,user3642@example.com,Canada,Berlin,Consumer,2021-05-03,ITEM-0000020,PROD-0070,7,1554.16,0.1,9791.21,Chairs Model 894,Furniture,Chairs,777.77,1554.16,4346.82,0.4439512583225158,6
ORD-000010,CUST-03643,2021-05-04,Standard Class,North,2021-05-10,FirstName_3642,LastName_3642,user3642@example.com,Canada,Berlin,Consumer,2021-05-03,ITEM-0000021,PROD-0064,4,300.46,0.0,1201.84,Accessories Model 147,Electronics,Accessories,186.32,300.46,456.55999999999995,0.3798841775943553,6
ORD-000011,CUST-02610,2023-08-31,Standard Class,Central,2023-09-06,FirstName_2609,LastName_2609,user2609@example.com,United States,Munich,Consumer,2021-11-23,ITEM-0000022,PROD-0148,3,1251.12,0.2,3002.69,Pens Model 764,Office Supplies,Pens,635.56,1251.12,1096.0100000000002,0.36500937492714874,6
ORD-000012,CUST-01431,2023-02-15,Standard Class,West,2023-02-16,FirstName_1430,LastName_1430,user1430@example.com,Canada,Munich,Consumer,2021-04-26,ITEM-0000023,PROD-0163,3,825.48,0.15,2104.97,Binders Model 905,Office Supplies,Binders,557.61,825.48,432.1399999999999,0.20529508734091217,1
ORD-000013,CUST-01914,2022-04-05,Standard Class,East,2022-04-11,FirstName_1913,LastName_1913,user1913@example.com,United States,Sydney,Corporate,2020-04-28,ITEM-0000024,PROD-0117,5,119.46,0.0,597.3,Bookcases Model 529,Furniture,Bookcases,79.3,119.46,200.79999999999995,0.3361794743010212,6
ORD-000014,CUST-00758,2021-06-27,Standard Class,East,2021-07-01,FirstName_757,LastName_757,user757@example.com,Canada,Sydney,Corporate,2021-01-23,ITEM-0000025,PROD-0151,9,505.68,0.05,4323.56,Pens Model 934,Office Supplies,Pens,291.89,505.68,1696.5500000000006,0.3923965435890795,4
ORD-000015,CUST-02135,2023-08-30,Standard Class,South,2023-09-01,FirstName_2134,LastName_2134,user2134@example.com,United Kingdom,New York,Home Office,2021-03-18,ITEM-0000026,PROD-0120,2,1270.45,0.0,2540.9,Bookcases Model 900,Furniture,Bookcases,637.93,1270.45,1265.0400000000002,0.4978708331693495,2
ORD-000016,CUST-01913,2021-06-21,Standard Class,Central,2021-06-23,FirstName_1912,LastName_1912,user1912@example.com,Australia,Sydney,Consumer,2021-05-19,ITEM-0000027,PROD-0032,6,463.63,0.0,2781.78,Smartphones Model 829,Electronics,Smartphones,324.4,463.63,835.3800000000003,0.30030412182128,2
ORD-000017,CUST-01740,2023-09-23,Second Class,North,2023-09-26,FirstName_1739,LastName_1739,user1739@example.com,Canada,New York,Consumer,2021-10-16,ITEM-0000028,PROD-0116,6,550.36,0.2,2641.73,Bookcases Model 162,Furniture,Bookcases,335.47,550.36,628.9099999999999,0.23806747850840163,3
ORD-000017,CUST-01740,2023-09-23,Second Class,North,2023-09-26,FirstName_1739,LastName_1739,user1739@example.com,Canada,New York,Consumer,2021-10-16,ITEM-0000029,PROD-0031,5,349.7,0.1,1573.65,Smartphones Model 908,Electronics,Smartphones,180.44,349.7,671.45,0.42668318876497313,3
ORD-000018,CUST-03218,2021-08-05,Second Class,West,2021-08-10,FirstName_3217,LastName_3217,user3217@example.com,United States,Melbourne,Consumer,2022-09-12,ITEM-0000030,PROD-0184,3,204.74,0.0,614.22,Binders Model 274,Office Supplies,Binders,167.74,204.74,111.0,0.18071700693562567,5
ORD-000018,CUST-03218,2021-08-05,Second Class,West,2021-08-10,FirstName_3217,LastName_3217,user3217@example.com,United States,Melbourne,Consumer,2022-09-12,ITEM-0000031,PROD-0198,1,606.19,0.0,606.19,Storage Model 135,Office Supplies,Storage,321.9,606.19,284.2900000000001,0.46897837311733953,5
ORD-000019,CUST-04757,2023-04-08,Standard Class,North,2023-04-12,FirstName_4756,LastName_4756,user4756@example.com,United States,Manchester,Consumer,2021-05-15,ITEM-0000032,PROD-0009,4,1200.74,0.0,4802.96,Laptops Model 793,Electronics,Laptops,700.85,1200.74,1999.56,0.41631827039992003,4
ORD-000019,CUST-04757,2023-04-08,Standard Class,North,2023-04-12,FirstName_4756,LastName_4756,user4756@example.com,United States,Manchester,Consumer,2021-05-15,ITEM-0000033,PROD-0005,5,448.69,0.2,1794.76,Laptops Model 172,Electronics,Laptops,343.63,448.69,76.6099999999999,0.04268537297465951,4
ORD-000020,CUST-01135,2021-07-17,Second Class,East,2021-07-23,FirstName_1134,LastName_1134,user1134@example.com,United Kingdom,Toronto,Consumer,2021-08-29,ITEM-0000034,PROD-0053,1,188.06,0.0,188.06,Accessories Model 891,Electronics,Accessories,141.84,188.06,46.22,0.2457726257577369,6
ORD-000021,CUST-03713,2021-05-10,Second Class,Central,2021-05-15,FirstName_3712,LastName_3712,user3712@example.com,United Kingdom,Chicago,Corporate,2022-02-11,ITEM-0000035,PROD-0102,4,107.15,0.05,407.17,Desks Model 327,Furniture,Desks,58.72,107.15,172.29000000000002,0.4231402117051846,5
ORD-000021,CUST-03713,2021-05-10,Second Class,Central,2021-05-15,FirstName_3712,LastName_3712,user3712@example.com,United Kingdom,Chicago,Corporate,2022-02-11,ITEM-0000036,PROD-0097,1,400.29,0.2,320.23,Tables Model 406,Furniture,Tables,323.03,400.29,-2.7999999999999545,-0.008743715454516923,5
ORD-000022,CUST-00765,2021-02-13,Standard Class,North,2021-02-19,FirstName_764,LastName_764,user764@example.com,United States,Berlin,Consumer,2020-11-04,ITEM-0000037,PROD-0183,2,1123.54,0.0,2247.08,Binders Model 591,Office Supplies,Binders,660.88,1123.54,925.3199999999999,0.4117877423144703,6
ORD-000022,CUST-00765,2021-02-13,Standard Class,North,2021-02-19,FirstName_764,LastName_764,user764@example.com,United States,Berlin,Consumer,2020-11-04,ITEM-0000038,PROD-0032,1,463.63,0.0,463.63,Smartphones Model 829,Electronics,Smartphones,324.4,463.63,139.23000000000002,0.30030412182127997,6
ORD-000023,CUST-02726,2022-03-10,Standard Class,West,2022-03-16,FirstName_2725,LastName_2725,user2725@example.com,United States,Toronto,Corporate,2020-09-19,ITEM-0000039,PROD-0106,10,138.32,0.05,1314.04,Desks Model 302,Furniture,Desks,69.24,138.32,621.64,0.4730754010532404,6
ORD-000024,CUST-03369,2021-03-22,Standard Class,Central,2021-03-28,FirstName_3368,LastName_3368,user3368@example.com,United States,New York,Consumer,2022-09-22,ITEM-0000040,PROD-0108,6,155.22,0.0,931.32,Desks Model 928,Furniture,Desks,82.66,155.22,435.36000000000007,0.467465532792166,6
ORD-000025,CUST-03498,2022-12-01,Standard Class,West,2022-12-05,FirstName_3497,LastName_3497,user3497@example.com,Germany,Los Angeles,Consumer,2020-08-07,ITEM-0000041,PROD-0135,7,751.38,0.0,5259.66,Paper Model 292,Office Supplies,Paper,455.25,751.38,2072.91,0.39411482871516407,4
ORD-000026,CUST-01673,2022-03-22,Second Class,West,2022-03-24,FirstName_1672,LastName_1672,user1672@example.com,Germany,London,Corporate,2020-08-20,ITEM-0000042,PROD-0072,8,843.53,0.15,5736.0,Chairs Model 519,Furniture,Chairs,638.82,843.53,625.4399999999996,0.10903765690376561,2
ORD-000026,CUST-01673,2022-03-22,Second Class,West,2022-03-24,FirstName_1672,LastName_1672,user1672@example.com,Germany,London,Corporate,2020-08-20,ITEM-0000043,PROD-0151,10,505.68,0.0,5056.8,Pens Model 934,Office Supplies,Pens,291.89,505.68,2137.9000000000005,0.4227772504350578,2
ORD-000026,CUST-01673,2022-03-22,Second Class,West,2022-03-24,FirstName_1672,LastName_1672,user1672@example.com,Germany,London,Corporate,2020-08-20,ITEM-0000044,PROD-0030,8,29.07,0.0,232.56,Smartphones Model 368,Electronics,Smartphones,23.18,29.07,47.120000000000005,0.20261437908496735,2
ORD-000027,CUST-03406,2021-07-26,Standard Class,Central,2021-07-28,FirstName_3405,LastName_3405,user3405@example.com,Germany,Chicago,Consumer,2022-03-04,ITEM-0000045,PROD-0015,6,191.41,0.0,1148.46,Smartphones Model 459,Electronics,Smartphones,107.29,191.41,504.72,0.4394754715009665,2
ORD-000027,CUST-03406,2021-07-26,Standard Class,Central,2021-07-28,FirstName_3405,LastName_3405,user3405@example.com,Germany,Chicago,Consumer,2022-03-04,ITEM-0000046,PROD-0096,7,224.97,0.0,1574.79,Tables Model 464,Furniture,Tables,127.18,224.97,684.53,0.4346801795794995,2
ORD-000028,CUST-00583,2023-04-23,Standard Class,Central,2023-04-28,FirstName_582,LastName_582,user582@example.com,Canada,Manchester,Corporate,2021-12-08,ITEM-0000047,PROD-0097,5,400.29,0.0,2001.45,Tables Model 406,Furniture,Tables,323.03,400.29,386.3000000000002,0.19301006770091692,5
ORD-000029,CUST-04767,2022-10-05,Second Class,West,2022-10-10,FirstName_4766,LastName_4766,user4766@example.com,Germany,Toronto,Corporate,2020-10-08,ITEM-0000048,PROD-0033,10,621.87,0.2,4974.96,Smartphones Model 818,Electronics,Smartphones,405.83,621.87,916.6600000000003,0.1842547477768666,5
ORD-000030,CUST-04634,2021-06-01,Second Class,East,2021-06-05,FirstName_4633,LastName_4633,user4633@example.com,Germany,London,Corporate,2021-10-17,ITEM-0000049,PROD-0100,2,841.3,0.0,1682.6,Tables Model 573,Furniture,Tables,600.98,841.3,480.6399999999999,0.28565315583026263,4
ORD-000030,CUST-04634,2021-06-01,Second Class,East,2021-06-05,FirstName_4633,LastName_4633,user4633@example.com,Germany,London,Corporate,2021-10-17,ITEM-0000050,PROD-0009,6,1200.74,0.0,7204.44,Laptops Model 793,Electronics,Laptops,700.85,1200.74,2999.3399999999992,0.41631827039992,4
ORD-000030,CUST-04634,2021-06-01,Second Class,East,2021-06-05,FirstName_4633,LastName_4633,user4633@example.com,Germany,London,Corporate,2021-10-17,ITEM-0000051,PROD-0193,8,459.9,0.0,3679.2,Storage Model 874,Office Supplies,Storage,281.6,459.9,1426.3999999999996,0.38769297673407255,4
